no.peserta;no.ujian;kode.prodi;nama.prodi;kode.formasi.awal;lokasi.formasi.awal;kode.formasi.akhir;lokasi.formasi.akhir;peringkat.cadangan;hasil.akhir
S2240160113107197;3107197;4412070;D-III Statistika;40160005;Provinsi Riau;40160005;Provinsi Riau;11;Lulus
S2240160121403581;1403581;4412070;D-III Statistika;40160005;Provinsi Riau;40160005;Provinsi Riau;25;Tidak Lulus
S2240160123308952;3308952;4412070;D-III Statistika;40160035;Provinsi Banten;40160005;Provinsi Riau;3;Tidak Lulus
S2240160123403738;3403738;4412070;D-III Statistika;40160033;Provinsi DI Yogyakarta;40160005;Provinsi Riau;5;Tidak Lulus
S2240160121801631;1801631;4412070;D-III Statistika;40160008;Provinsi Bengkulu;40160005;Provinsi Riau;6;Tidak Lulus
S2240160113303478;3303478;4412070;D-III Statistika;40160015;Provinsi Kalimantan Tengah;40160005;Provinsi Riau;8;Tidak Lulus
S2240160122100579;2100579;4412070;D-III Statistika;40160011;Provinsi Kepualauan Riau;40160005;Provinsi Riau;19;Tidak Lulus
S2240160125100651;5100651;4412070;D-III Statistika;40160036;Provinsi Bali;40160005;Provinsi Riau;21;Tidak Lulus
S2240160111102897;1102897;4412070;D-III Statistika;40160002;Provinsi Aceh;40160005;Provinsi Riau;22;Tidak Lulus
S2240160113403169;3403169;4412070;D-III Statistika;40160018;Provinsi Kalimantan Utara;40160005;Provinsi Riau;24;Tidak Lulus
S2240160121900996;1900996;4412070;D-III Statistika;40160010;Provinsi Kepulauan Bangka Belitung;40160005;Provinsi Riau;26;Tidak Lulus
S2240160116302294;6302294;4412070;D-III Statistika;40160016;Provinsi Kalimantan Selatan;40160005;Provinsi Riau;36;Tidak Lulus
S2240160121900329;1900329;4412070;D-III Statistika;40160017;Provinsi Kalimantan Timur;40160005;Provinsi Riau;40;Tidak Lulus
S2240160123107014;3107014;4412070;D-III Statistika;40160019;Provinsi Sulawesi Utara;40160005;Provinsi Riau;42;Tidak Lulus
S2240160121801570;1801570;4412070;D-III Statistika;40160009;Provinsi Lampung;40160005;Provinsi Riau;49;Tidak Lulus
S2240160121801853;1801853;4412070;D-III Statistika;40160009;Provinsi Lampung;40160005;Provinsi Riau;52;Tidak Lulus
S2240160125202537;5202537;4412070;D-III Statistika;40160025;Provinsi Maluku;40160025;Provinsi Maluku;32;Lulus
S2240160128100393;8100393;4412070;D-III Statistika;40160025;Provinsi Maluku;40160025;Provinsi Maluku;39;Lulus
S2240160116200624;6200624;4412070;D-III Statistika;40160015;Provinsi Kalimantan Tengah;40160025;Provinsi Maluku;9;Tidak Lulus
S2240160127303191;7303191;4412070;D-III Statistika;40160021;Provinsi Sulawesi Selatan;40160025;Provinsi Maluku;23;Tidak Lulus
S2240160111104727;1104727;4412070;D-III Statistika;40160002;Provinsi Aceh;40160025;Provinsi Maluku;33;Tidak Lulus
S2240160127100844;7100844;4412070;D-III Statistika;40160019;Provinsi Sulawesi Utara;40160025;Provinsi Maluku;43;Tidak Lulus
S2240160127401770;7401770;4412070;D-III Statistika;40160022;Provinsi Sulawesi Tenggara;40160025;Provinsi Maluku;46;Tidak Lulus
S2240160126101187;6101187;4412070;D-III Statistika;40160014;Provinsi Kalimantan Barat;40160027;Provinsi Papua Barat;4;Lulus
S2240160123302189;3302189;4412070;D-III Statistika;40160015;Provinsi Kalimantan Tengah;40160027;Provinsi Papua Barat;10;Lulus
S2240160121308819;1308819;4412070;D-III Statistika;40160004;Provinsi Sumatera Barat;40160027;Provinsi Papua Barat;16;Tidak Lulus
S2240160127302619;7302619;4412070;D-III Statistika;40160024;Provinsi Sulawesi Barat;40160027;Provinsi Papua Barat;37;Tidak Lulus
S2240160123320107;3320107;4412070;D-III Statistika;40160017;Provinsi Kalimantan Timur;40160027;Provinsi Papua Barat;41;Tidak Lulus
S2240160117303438;7303438;4412070;D-III Statistika;40160026;Provinsi Maluku Utara;40160027;Provinsi Papua Barat;50;Tidak Lulus
S2240160129200575;9200575;4412070;D-III Statistika;40160028;Provinsi Papua;40160028;Provinsi Papua;30;Lulus
S2240160122100401;2100401;4412070;D-III Statistika;40160028;Provinsi Papua;40160028;Provinsi Papua;31;Lulus
S2240160129100107;9100107;4412070;D-III Statistika;40160028;Provinsi Papua;40160028;Provinsi Papua;34;Lulus
S2240160121201020;1201020;4412070;D-III Statistika;40160003;Provinsi Sumatera Utara;40160028;Provinsi Papua;1;Lulus
S2240160126100254;6100254;4412070;D-III Statistika;40160014;Provinsi Kalimantan Barat;40160028;Provinsi Papua;2;Lulus
S2240160115302493;5302493;4412070;D-III Statistika;40160012;Provinsi Nusa Tenggara Timur;40160028;Provinsi Papua;12;Lulus
S2240160113304105;3304105;4412070;D-III Statistika;40160023;Provinsi Gorontalo;40160028;Provinsi Papua;13;Tidak Lulus
S2240160111205569;1205569;4412070;D-III Statistika;40160002;Provinsi Aceh;40160028;Provinsi Papua;14;Tidak Lulus
S2240160123401295;3401295;4412070;D-III Statistika;40160018;Provinsi Kalimantan Utara;40160028;Provinsi Papua;15;Tidak Lulus
